geo_id,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,median_rent,percent_income_spent_on_rent,commuters_16_over,commute_less_10_mins,commute_35_44_mins,commute_60_more_mins,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,employed_pop,unemployed_pop,not_in_labor_force,pop_in_labor_force,bachelors_degree_or_higher_25_64,commuters_by_bus,commuters_by_subway_or_elevated,commuters_by_carpool,group_quarters,households_public_asst_or_food_stamps,no_cars,pop_determined_poverty_status,poverty,gini_index,county,city,zip_code,internal_point_lat,internal_point_lon,area_land_meters,area_water_meters
12742,90,36,54,63.2,77,0,0,13,0,0,0,77,0,48,31167,24412,100,343,9,14,0,0,10,0,0,0,4,0,0,,4,0,0,3,10,15,0,0,0,0,0,11,5,0,0,0,31,0,49,31,5,0,0,0,0,15,4,90,4,0.3478,Sullivan,Harris,12742,41.7243282,-74.7235181,5570618,20998
14039,92,49,43,29.7,92,0,0,0,0,0,0,92,0,37,57188,24849,46,438,51,48,3,12,4,6,7,3,10,3,0,,6,3,0,0,0,3,0,0,3,4,7,0,8,3,0,0,48,0,12,48,7,0,0,4,0,6,0,92,13,0.3717,Wyoming,Dale,14039,42.8514795,-78.173096,4838845,0
12927,262,138,124,60.7,262,0,0,0,0,0,0,262,0,128,50227,30013,610,668,13.6,66,21,0,20,13,6,2,0,2,2,,6,11,2,20,4,0,5,10,5,16,13,13,7,8,6,2,78,2,161,80,43,0,0,0,5,10,0,262,50,0.4166,St. Lawrence County,Cranberry Lake CDP,12927,44.2072496,-74.8097459,286441522,34224411
11956,212,105,107,56.9,202,10,0,0,0,0,0,212,0,117,64917,47506,288,1583,48.3,78,21,7,6,5,18,15,0,6,0,,16,0,3,0,8,2,0,2,3,8,32,7,9,6,14,7,88,16,95,104,50,0,0,0,0,7,7,212,24,0.4219,Suffolk County,"Cutchogue CDP, New Suffolk CDP",11956,40.9690492,-72.4621745,3284726,157808
13345,174,91,83,42.2,164,10,0,0,0,0,0,174,0,77,,31613,107,575,51,93,0,0,12,5,0,41,8,13,14,,0,21,0,4,0,0,4,7,0,5,0,15,5,11,5,0,93,11,39,104,15,0,0,4,0,5,14,174,27,0.4237,"",Utica,13345,43.6871082,-75.3212539,12791341,42214
12964,186,118,68,39.4,163,0,21,0,0,0,2,186,0,59,,31633,154,630,51,42,12,0,3,5,2,5,0,6,9,,0,23,0,2,3,0,3,0,0,2,0,7,3,0,13,3,98,10,39,108,47,0,0,0,43,2,23,186,26,0.5189,Essex,New russia,12964,44.1259194,-73.6267208,89349550,1836919
13678,276,180,96,48.3,276,0,0,0,0,0,0,276,0,124,42708,25678,124,563,19.9,108,7,27,0,0,59,0,0,15,0,,0,0,0,0,7,26,0,51,0,0,8,25,0,0,7,0,116,0,111,116,0,0,0,0,0,0,0,276,16,0.2685,"",Watertown,13678,44.8137664,-74.9929182,2033438,100693
12843,420,213,207,57.3,397,0,0,5,0,0,18,415,0,188,32813,20564,487,520,22,114,11,11,7,4,32,7,21,6,15,,9,0,32,18,27,22,16,5,9,16,6,11,11,0,6,0,114,10,220,124,29,0,0,28,0,14,13,420,27,0.4,Warren,Johnsburg,12843,43.5651037,-73.9727479,152485679,779682
13410,281,148,133,39.3,273,0,0,4,0,0,4,277,0,93,70938,24948,106,603,23.2,115,11,12,10,23,12,10,14,2,21,,2,3,2,3,0,7,2,2,1,22,11,14,12,6,6,0,126,10,100,136,18,0,0,21,0,5,0,279,32,0.3025,Montgomery County,Nelliston village,13410,42.9310434,-74.6125911,284878,0
13113,304,145,159,32,304,0,0,0,0,0,0,304,2,94,85938,25935,103,550,18,135,15,28,2,5,14,15,18,34,4,,1,1,1,4,0,0,1,6,2,6,17,25,16,9,5,0,142,10,54,152,42,2,0,3,0,8,3,292,59,0.2428,Cayuga County,Meridian village,13113,43.1626504,-76.5386227,1345153,0
12460,373,148,225,26.6,354,0,0,19,0,0,0,354,0,119,26850,16333,194,609,34.3,119,10,38,20,31,4,12,0,0,4,,0,12,0,29,33,0,18,0,0,0,19,0,0,4,0,4,131,29,118,160,9,0,0,0,0,24,0,373,142,0.4708,Greene,Oak hill,12460,42.415615,-74.1475898,5344418,0
14877,465,261,204,48.5,443,0,0,0,0,0,22,465,0,187,58438,26042,332,408,23.1,145,30,9,13,10,2,9,14,26,32,,6,8,13,7,7,12,13,13,0,17,30,18,25,12,5,1,176,8,189,184,28,0,0,12,0,15,10,448,68,0.3553,Steuben,Rexville,14877,42.0577904,-77.6803073,109527067,377011
12471,252,140,112,42.7,252,0,0,0,0,0,0,252,0,113,,29179,113,1146,44,200,0,0,0,28,35,97,0,40,0,,28,3,0,0,0,0,0,0,34,0,0,0,48,0,0,0,200,0,22,200,0,0,0,0,0,0,0,252,37,0.3751,Ulster County,Rifton CDP,12471,41.8438709,-74.0413439,906965,531319
12861,612,313,299,54.3,598,0,2,3,0,0,9,609,0,288,50625,33286,690,540,30.3,200,28,2,25,48,30,17,17,16,17,,12,8,10,28,22,16,25,20,2,6,34,38,26,20,13,8,206,34,271,240,45,0,0,19,0,11,13,612,94,0.4252,Washington,Putnam station,12861,43.7468866,-73.4175272,84927998,1465755
12147,529,281,248,48,517,9,0,0,0,0,3,529,0,228,67500,38263,337,1010,14.8,238,6,31,34,0,21,73,10,6,57,,0,0,9,13,9,15,12,15,0,20,24,28,36,15,16,16,245,3,192,248,75,0,0,8,0,21,6,529,43,0.3718,Albany,Rensselaerville,12147,42.5186111,-74.1588398,50930857,479079
11959,784,363,421,51.9,697,18,30,33,0,0,6,751,11,327,72917,51187,1571,1400,35.5,264,34,8,42,33,33,40,8,16,50,,0,33,9,14,14,22,9,12,3,24,26,30,13,23,16,79,336,0,292,336,269,2,0,13,9,10,10,784,66,0.5107,Suffolk County,"Quogue village, East Quogue CDP",11959,40.8225856,-72.6013445,9938211,1095887
14859,804,388,416,50.5,732,0,0,16,0,0,56,788,0,301,52083,27602,424,357,38,322,13,50,29,17,72,16,38,51,36,,15,13,19,17,0,25,6,33,10,33,25,22,44,13,18,8,331,37,295,368,47,0,0,62,0,57,3,804,87,0.4233,Tioga,Lockwood,14859,42.114838,-76.5381393,80710588,156995
12160,872,430,442,50.9,821,6,0,34,5,0,6,838,0,320,70278,30325,363,706,19.8,358,8,51,62,39,53,34,26,32,53,,15,29,7,0,12,3,21,17,4,26,58,33,53,25,14,3,363,37,311,400,109,0,0,53,0,68,15,872,100,0.4385,Schoharie,Sloansville,12160,42.7616207,-74.3831523,45894191,361095
13844,758,387,371,42.8,703,19,0,3,0,0,33,755,0,272,53125,23172,326,566,34.8,364,18,24,17,62,75,60,38,47,23,8705,21,5,8,3,20,37,5,7,12,40,35,30,12,10,27,0,379,21,223,400,42,0,0,60,0,46,18,752,132,0.3874,Chenango,South plymouth,13844,42.6081789,-75.668317,62135990,106370
13319,811,356,455,34.9,788,0,0,23,0,0,0,788,0,328,44619,22190,328,701,24.8,406,67,0,0,99,56,124,20,0,40,,0,34,16,0,44,20,0,59,0,30,36,63,0,26,0,0,465,15,198,480,87,0,0,75,0,37,47,811,133,0.3294,Oneida County,"Washington Mills CDP, Chadwicks CDP",13319,43.0264357,-75.2669251,2295988,0
12468,1069,563,506,55.9,1043,0,4,0,0,0,22,1069,0,413,50417,34806,806,392,31,426,82,22,59,35,63,58,21,52,34,12215,27,11,26,20,16,28,40,23,14,36,33,51,44,13,10,21,460,20,499,480,108,0,0,58,0,28,14,1058,173,0.517,Greene County,Prattsville CDP,12468,42.3004615,-74.4237631,112952348,298023
12989,1024,515,509,53.3,957,0,32,10,0,0,18,1014,5,456,69479,36389,817,589,22.1,493,41,44,38,18,55,129,52,94,22,13530,13,16,16,21,28,18,23,7,10,45,54,42,82,36,35,10,525,19,341,544,188,0,0,43,0,25,24,1017,87,0.3679,Franklin,Vermontville,12989,44.5201027,-74.069774,382679731,7286294
14507,1236,567,669,41.9,1144,7,5,54,0,0,25,1182,0,469,60125,29068,903,596,32.5,528,33,37,68,48,35,100,85,59,63,16520,43,15,18,32,22,24,5,12,31,32,62,79,34,9,25,26,573,35,370,608,197,0,0,53,33,70,6,1231,207,0.4453,Yates,Middlesex,14507,42.6849158,-77.2548857,84757380,96352
12548,1213,616,597,54.1,905,143,9,156,0,0,0,1057,0,528,56369,33239,593,743,29.4,586,66,22,110,75,99,76,47,49,42,,21,0,55,21,0,73,0,0,28,85,37,38,69,75,19,7,608,0,453,608,163,0,0,61,0,30,0,1213,147,0.3802,Ulster,Modena,12548,41.6579253,-74.1015025,15205636,538473
12824,970,524,446,55.8,946,0,0,24,0,0,0,946,0,443,76161,55040,1056,532,12.9,524,102,59,63,40,16,89,41,106,8,,6,14,6,16,19,11,8,12,22,43,58,43,52,49,38,46,576,64,272,640,220,0,0,6,0,17,6,970,27,0.4747,Warren,Diamond point,12824,43.5247563,-73.7271768,39274288,1260398
